Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1465635600.0 25406.0 287 0 130 NA NA 368 0 170 NA NA 3597 642 359 NA NA 5837 758 482 NA NA
1465635600.0 25407.0 294 0 130 NA NA 362 0 172 NA NA 6238 657 499 NA NA 9936 772 707 NA NA
1465635600.0 25408.0 297 0 125 NA NA 381 0 170 NA NA 9862 726 865 NA NA 10582 843 1105 NA NA
1465635600.0 25409.0 288 0 123 NA NA 372 0 170 NA NA 7360 715 623 NA NA 11376 726 702 NA NA
1465635600.0 28.0 NA 101 226 0 NA NA 159 272 0 NA NA 4193 3879 1077 NA NA 4346 4153 1212 NA
1465635600.0 280.0 65 89 224 0 NA 181 154 268 0 NA 7332 690 859 889 NA 7387 763 1163 1010 NA
1465635600.0 3.0 59 92 163 NA NA 107 151 203 NA NA 17093 500 2936 NA NA 17201 670 3146 NA NA
1465635600.0 300.0 83 197 273 0 NA 133 263 350 0 NA 5454 1507 1946 391 NA 5589 1689 2247 520 NA
1465635600.0 301.0 73 193 276 0 NA 137 264 350 0 NA 7167 1533 1930 400 NA 7431 1853 2245 534 NA
1465635600.0 302.0 81 196 269 0 NA 133 263 350 0 NA 4489 1493 1936 388 NA 4800 1728 2349 435 NA
1465635600.0 34.0 60 103 229 0 NA 109 154 266 0 NA 9666 701 989 920 NA 9871 865 1197 1050 NA
1465635600.0 35.0 NA 96 224 0 NA NA 159 271 0 NA NA 4071 3353 1056 NA NA 4334 3588 1085 NA
1465635600.0 36.0 NA 96 234 0 NA NA 160 274 0 NA NA 4153 14659 1082 NA NA 4412 14905 1208 NA
1465635600.0 37.0 NA 89 227 0 NA NA 159 275 0 NA NA 4367 5716 1189 NA NA 4533 5977 1324 NA
1465635600.0 38.0 NA 98 229 0 NA NA 159 274 0 NA NA 4210 4804 1077 NA NA 4381 5061 1205 NA
1465635600.0 39.0 NA 97 230 0 NA NA 159 276 0 NA NA 4480 9201 1124 NA NA 4619 9375 1245 NA
1465635600.0 4.26 NA 66 243 0 NA NA 102 297 0 NA NA 150 5088 969 NA NA 257 5506 1013 NA
