Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1465160400.0 4.36 NA 55 219 0 NA NA NA NA 159 410 0 NA NA NA NA 105 3427 484 NA NA NA NA 157 3669 605 NA NA NA
1465160400.0 4.4 NA 41 218 0 NA NA NA NA 143 418 0 NA NA NA NA 122 4069 489 NA NA NA NA 189 4517 519 NA NA NA
1465160400.0 4.6 NA 216 0 NA NA NA NA NA 411 0 NA NA NA NA NA 2054 334 NA NA NA NA NA 2392 396 NA NA NA NA
1465160400.0 4.65 NA 36 223 0 NA NA NA NA 140 439 0 NA NA NA NA 178 11374 461 NA NA NA NA 260 22132 481 NA NA NA
1465160400.0 4001.0 NA 83 208 NA NA NA NA NA 237 413 NA NA NA NA NA 651 1149 NA NA NA NA NA 1300 1743 NA NA NA NA
1465160400.0 4002.0 NA 81 196 NA NA NA NA NA 236 393 NA NA NA NA NA 1941 1483 NA NA NA NA NA 2022 1736 NA NA NA NA
1465160400.0 500199.0 114 NA NA NA NA NA NA 256 NA NA NA NA NA NA 1758 NA NA NA NA NA NA 5240 NA NA NA NA NA NA
1465160400.0 500200.1 64 116 185 NA NA NA NA 175 253 359 NA NA NA NA 8633 625 3261 NA NA NA NA 9179 965 3562 NA NA NA NA
1465160400.0 500202.0 NA 120 246 0 NA NA NA NA 289 461 0 NA NA NA NA 4426 2929 591 NA NA NA NA 5548 3188 845 NA NA NA
1465160400.0 50208.0 NA 108 276 0 NA NA NA NA 251 493 0 NA NA NA NA 1387 3735 599 NA NA NA NA 4345 7790 625 NA NA NA
1465160400.0 512.0 14 36 0 NA NA NA NA 182 129 0 NA NA NA NA 8 31 14 NA NA NA NA 4736 57 29 NA NA NA NA
